Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
369919,The Hacker Diaries: Confessions of Teenage Hackers,Dan Verton,"Verton, Dan",,"=""0072223642""","=""9780072223644""",0,3.43,McGraw-Hill Education,Hardcover,219,2002,2001,,2016/04/11,"acm2, to-read","acm2 (#151), to-read (#151)",to-read,,,,,,,0,,,,,
454039,The Elements of Programming Style,Brian W. Kernighan,"Kernighan, Brian W.",P.J. Plauger,"=""0070342075""","=""9780070342071""",0,4.09,McGraw-Hill Companies,Paperback,168,1988,1974,,2016/04/11,"acm2, to-read","acm2 (#150), to-read (#150)",to-read,,,,,,,0,,,,,
583566,"Practical PostgreSQL. A Hardened, Robust, Open Source Database.",John C. Worsley,"Worsley, John C.",Joshua D. Drake,"=""1565928466""","=""9781565928466""",0,3.48,O'Reilly Media,Paperback,636,2002,2002,,2016/04/11,"to-read, acm2","to-read (#149), acm2 (#149)",to-read,,,,,,,0,,,,,
260296,From Alchemy to Quarks,Sheldon L. Glashow,"Glashow, Sheldon L.","Lisa Moller, Beth Wilbur, Harvey Pantzis, Penelope Sky, Karharyn Graham","=""0534166563""","=""9780534166564""",0,4.00,Thomson Brooks/Cole,Hardcover,576,1993,1993,,2016/04/11,"to-read, acm2","to-read (#148), acm2 (#148)",to-read,,,,,,,0,,,,,
518428,America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart,"Stewart, Jon","Samantha Bee, Rich Bloomquist, Steve Bodow, Tim Carvell, Stephen Colbert, Rob Corddry, Eric Drysdale, J.R. Havlan, Brendan Hay, Ed Helms, Scott Jacobson, David Javerbaum, Tom Johnson, Ben Karlin, Rob Kutner, Chris Regan, Jason Reich, Jason Ross","=""0446532681""","=""9780446532686""",0,4.02,Grand Central Publishing,Hardcover,227,2009,2004,,2016/04/11,"to-read, acm2","to-read (#147), acm2 (#147)",to-read,,,,,,,0,,,,,
23547,America (The Book): A Citizen's Guide to Democracy Inaction  (Teacher's Edition),Jon Stewart,"Stewart, Jon",Scott C. Jacobson,"=""0446691860""","=""9780446691864""",0,4.02,Warner Books,Paperback,227,2006,2004,,2016/04/11,"to-read, acm2","to-read (#146), acm2 (#146)",to-read,,,,,,,0,,,,,
26420,CSS: The Definitive Guide,Eric A. Meyer,"Meyer, Eric A.",,"=""0596527330""","=""9780596527334""",0,3.94,O'Reilly Media,Paperback,518,2006,2000,,2016/04/11,"to-read, acm2","to-read (#145), acm2 (#145)",to-read,,,,,,,0,,,,,
6758846,Database System Concepts,Abraham Silberschatz,"Silberschatz, Abraham","Henry F. Korth, S. Sudarshan","=""0073523321""","=""9780073523323""",0,3.76,McGraw-Hill Education,Hardcover,1349,2010,1987,,2016/04/11,"to-read, acm2","to-read (#144), acm2 (#144)",to-read,,,,,,,0,,,,,
7194433,"Machine Vision: Theory, Algorithms, Practicalities",E.R. Davies,"Davies, E.R.",,"=""012206092X""","=""9780122060922""",0,3.38,Morgan Kaufmann Publishers,Hardcover,750,1996,1990,,2016/04/11,"to-read, acm2","to-read (#142), acm2 (#142)",to-read,,,,,,,0,,,,,
960881,Technical Communication,Mike Markel,"Markel, Mike",,"=""0312441975""","=""9780312441975""",0,3.34,Bedford/St. Martin's,Paperback,736,2006,2002,,2016/04/11,"to-read, acm2","to-read (#143), acm2 (#143)",to-read,,,,,,,0,,,,,
